"","-1/4-wave","+1/4-wave","cylinder","dihedral","dipole","left helix","narrow dihedral","random volume","right helix","trihedral","class"
"1908","0.720062064645436","0.58022484682837","0.243070158628987","0.963518076834685","0.700263492027525","0.948538928496136","0.878967589956967","0.352769788014849","0.974458994041161","0.12415058700959","poor"
"2419","0.753105931237657","0.78926608516595","0.499342018540173","0.846019827269164","1.05911873300763","0.643503840441113","0.645489937113142","0.635060475988409","1.08298313940468","0.693072342871865","rich"
"689","0.628852596488892","0.636454675263951","0.223333609488673","0.932937148546185","0.683633484270412","0.960051636282855","0.849315451554339","0.348545458880811","0.963731543586904","0.107027014837703","poor"
"2242","0.352376753361572","0.882264309144313","0.739845931008134","0.680572388473443","0.444915074983495","0.831018926491495","0.779647388515564","0.455173642278635","0.681215574811207","0.626504031988049","rich"
"1566","0.69472879670687","0.565306870585429","0.321803816246684","0.927584766396978","0.609931669159744","0.989787711625129","0.883045393205012","0.339295280175091","0.913109874832811","0.131237274498538","poor"
"370","0.623231380394943","0.631348860095132","0.511947424009213","0.850274674058756","0.466453939583394","0.904047881713217","0.883193749590286","0.363724024173636","0.893763493412836","0.325511793649446","poor"
"3094","0.672133059693378","0.648765249143292","0.467326588557966","0.76057837481697","0.801838414536445","0.801944309124133","0.654290111045853","0.510492201779177","0.937302629756513","0.550025930045069","rich"
"2287","0.491710963530586","0.798528332662399","0.46228262396485","0.901924139895621","0.587055098295202","0.896869671207448","0.890420571861177","0.327824939580299","0.857150176229391","0.323009406745397","rich"
"573","0.630524354657368","0.6413277202215","0.242112781045973","0.926900759472129","0.692502195886081","0.961650014250205","0.841803150706465","0.353615963946304","0.945583965550679","0.161924197848706","poor"
"2324","0.586124820171931","0.737673135933308","0.40721445930326","0.968025854964247","0.584392161896237","0.906178257625213","0.950287448451473","0.317439585891595","0.940551738219948","0.190476330921743","rich"
"1301","0.558233524746815","0.52065716042187","0.421538663446327","0.620728116661228","0.602916688180726","0.816489772637184","0.567904917589979","0.276308390865883","0.728500559841919","0.448222098339711","poor"
"2223","0.886668137637181","0.77479489345983","0.599160554564236","0.953850944846481","1.0197290522804","0.897066322162103","0.815392532211509","0.664673289247197","0.892378183440323","0.702081752510257","rich"
"1237","0.617724408248992","0.708402240896197","0.395098007816392","0.970652455774274","0.592601716081866","0.88125695839048","0.948077674762149","0.322147489785258","0.977854086225529","0.17804688539883","poor"
"2047","0.428534609588029","0.662302660231672","0.493310966551899","0.661351727405481","0.498769394249545","0.705871112458691","0.669747119796376","0.200995428439044","0.791623743460446","0.429848014236077","rich"
"3492","0.519364456720087","0.83513648594829","0.443161588639471","0.700628635671168","1.00021068340304","0.816799762496332","0.470379682305445","0.581667650650333","0.848374699622981","0.675273624383622","rich"
"3839","0.590629112055157","1.13581579981232","0.678499380135502","0.970820022615306","1.05842534897013","0.957568484855337","0.841238393006681","0.753217228659356","0.887912988664188","0.77773344022945","rich"
"1730","0.615261998114098","0.724270810000259","0.491703026317017","0.894196981393661","0.620448137575312","0.989399591678987","0.877904673744032","0.435687670527218","0.848154568833827","0.385166342831582","poor"
"3265","0.681940178442676","0.545944397185471","0.32437129380337","0.842758803883569","0.677079141467758","0.844210625124212","0.767275749146368","0.283144196910178","0.877544224825117","0.302982827503381","rich"
"3352","0.814635955695859","0.618901799878339","0.717501856854702","0.83668530657009","0.551785506935819","0.99875883544995","0.901034885677369","0.535116072098976","0.711182082354092","0.592835857203137","rich"
"1234","0.69311457946495","0.701222903844231","0.183665687660829","0.958770413086322","0.905638212078238","0.952757989120942","0.786228020907874","0.449967096057228","0.945037206340286","0.351798576539112","poor"
"2082","0.679949538234539","0.588081996098629","0.40651481930162","0.917101170510516","0.542888969854571","0.885621612130918","0.908650917151078","0.312090418301407","0.953677805301799","0.192137361552012","rich"
"1914","0.537578285721648","0.877062190172869","0.701075792576942","0.927824426011646","0.402001858631142","0.925710257545989","1.03271461407551","0.519917037711829","0.952393989027062","0.466859256343018","poor"
"1227","0.517453632135626","0.689494265794278","0.53620808605919","0.800463974806161","0.418635898064985","0.924554598432889","0.849496217042207","0.373849187772019","0.855281710959515","0.355895110979104","poor"
"3131","0.534476998282234","0.785788374635405","0.630050133757659","0.832532111582185","0.475033862989172","0.677437118190514","0.893415651740682","0.33020211667848","0.893711754913859","0.471607642570182","rich"
"367","0.91462995767055","0.331949377533668","0.550335170435164","0.79155683382837","0.67321503734675","0.812423365208605","0.763528238351865","0.465706174296236","0.888669998672956","0.524649540980029","poor"
"2458","0.717938696899922","0.655149845978168","0.778391995728219","0.659640990167507","0.557296122065592","0.635702688371766","0.737378750600228","0.361359580944626","0.545907899693945","0.713663381969","rich"
"897","0.697662362403612","0.645331123260578","0.505450180101944","0.964953517977503","0.478806632455891","0.980470158065055","0.999830125514245","0.423448235553976","0.977907094011163","0.237921046259195","poor"
